seed_model,trial,true_cls,target_t1,target_t3,donor_t1,c2_t3,agree,bl_correct_t1,bl_correct_t3,c2_correct_t1,c2_correct_t3
0,51,0,0,0,0,0,1,1,1,1,1
0,52,3,3,3,4,3,0,1,1,1,1
0,53,3,3,3,3,3,1,1,1,1,1
0,54,4,0,4,4,0,0,0,1,0,0
0,55,3,3,3,3,3,1,1,1,1,1
0,56,1,0,0,1,0,0,0,0,0,0
0,57,2,2,2,2,2,1,1,1,1,1
0,58,3,3,3,3,3,1,1,1,1,1
0,59,4,4,4,4,4,1,1,1,1,1
0,60,4,0,4,4,0,0,0,1,0,0
0,61,2,2,2,2,2,1,1,1,1,1
0,62,2,2,2,2,2,1,1,1,1,1
0,63,2,3,3,2,3,0,0,0,0,0
0,64,0,0,0,4,0,0,1,1,1,1
0,65,3,3,3,3,3,1,1,1,1,1
0,66,3,3,4,4,3,0,1,0,1,1
0,67,2,3,1,1,3,0,0,0,0,0
0,68,3,3,3,3,3,1,1,1,1,1
0,69,1,1,1,1,1,1,1,1,1,1
0,70,4,4,4,4,4,1,1,1,1,1
0,71,2,1,1,1,1,1,0,0,0,0
0,72,3,3,3,1,3,0,1,1,1,1
0,73,2,3,1,2,1,0,0,0,0,0
0,74,4,3,4,4,3,0,0,1,0,0
0,75,1,1,1,1,1,1,1,1,1,1
0,76,1,1,1,1,1,1,1,1,1,1
0,77,3,0,3,3,3,0,0,1,0,1
0,78,2,2,2,2,2,1,1,1,1,1
0,79,2,3,2,2,2,0,0,1,0,1
0,80,4,4,4,4,4,1,1,1,1,1
0,81,0,0,0,0,0,1,1,1,1,1
0,82,4,4,4,4,4,1,1,1,1,1
0,83,1,4,4,4,1,1,0,0,0,1
0,84,2,2,2,2,1,1,1,1,1,0
0,85,1,1,1,1,1,1,1,1,1,1
0,86,2,1,1,1,1,1,0,0,0,0
0,87,3,3,3,3,3,1,1,1,1,1
0,88,3,3,3,3,3,1,1,1,1,1
0,89,1,1,1,1,1,1,1,1,1,1
0,90,2,2,2,2,2,1,1,1,1,1
0,91,1,1,1,1,1,1,1,1,1,1
0,92,0,0,3,3,0,0,1,0,1,1
0,93,0,0,0,1,0,0,1,1,1,1
0,94,1,0,0,1,0,0,0,0,0,0
0,95,1,1,1,1,1,1,1,1,1,1
0,96,3,0,4,4,3,0,0,0,0,1
0,97,0,0,0,0,0,1,1,1,1,1
0,98,0,0,0,4,0,0,1,1,1,1
0,99,2,2,2,2,2,1,1,1,1,1
0,100,0,0,0,1,0,0,1,1,1,1
0,101,0,0,0,0,0,1,1,1,1,1
0,102,0,0,0,4,0,0,1,1,1,1
0,103,2,1,1,1,1,1,0,0,0,0
0,104,4,4,4,4,4,1,1,1,1,1
0,105,0,0,0,0,0,1,1,1,1,1
0,106,2,2,2,1,2,0,1,1,1,1
0,107,1,1,1,1,1,1,1,1,1,1
0,108,3,3,3,3,3,1,1,1,1,1
0,109,2,2,2,2,2,1,1,1,1,1
0,110,1,1,1,1,1,1,1,1,1,1
0,111,3,0,3,4,3,0,0,1,0,1
0,112,2,2,0,2,2,1,1,0,1,1
0,113,3,3,3,3,3,1,1,1,1,1
0,114,2,2,2,2,2,1,1,1,1,1
0,115,1,1,1,1,1,1,1,1,1,1
0,116,0,0,0,1,0,0,1,1,1,1
0,117,3,3,3,1,3,0,1,1,1,1
0,118,4,0,4,4,1,0,0,1,0,0
0,119,4,4,4,4,4,1,1,1,1,1
0,120,4,4,4,4,4,1,1,1,1,1
0,121,4,4,4,4,0,1,1,1,1,0
0,122,4,3,4,4,4,0,0,1,0,1
0,123,0,0,0,0,0,1,1,1,1,1
0,124,4,4,4,4,4,1,1,1,1,1
0,125,2,2,2,2,2,1,1,1,1,1
0,126,0,1,1,0,1,0,0,0,0,0
0,127,4,4,4,4,0,1,1,1,1,0
0,128,4,4,4,4,4,1,1,1,1,1
0,129,2,2,2,2,3,1,1,1,1,0
0,130,0,0,0,4,0,0,1,1,1,1
0,131,0,0,0,0,4,1,1,1,1,0
0,132,4,4,4,4,4,1,1,1,1,1
0,133,1,1,1,1,1,1,1,1,1,1
0,134,2,2,2,2,3,1,1,1,1,0
0,135,0,0,0,0,0,1,1,1,1,1
0,136,2,2,2,2,2,1,1,1,1,1
0,137,3,3,3,3,3,1,1,1,1,1
0,138,1,1,1,1,1,1,1,1,1,1
0,139,1,0,0,3,3,0,0,0,0,0
0,140,2,2,2,2,2,1,1,1,1,1
0,141,3,3,3,1,3,0,1,1,1,1
0,142,4,4,4,4,4,1,1,1,1,1
0,143,2,2,2,2,0,1,1,1,1,0
0,144,3,3,1,1,3,0,1,0,1,1
0,145,4,3,4,4,3,0,0,1,0,0
0,146,2,2,2,1,2,0,1,1,1,1
0,147,0,4,4,4,4,1,0,0,0,0
0,148,3,3,3,3,3,1,1,1,1,1
0,149,4,4,4,4,4,1,1,1,1,1
0,150,4,4,2,4,2,1,1,0,1,0
0,151,4,4,4,4,4,1,1,1,1,1
0,152,1,2,1,1,2,0,0,1,0,0
0,153,2,2,2,1,2,0,1,1,1,1
0,154,2,2,2,2,2,1,1,1,1,1
0,155,1,1,1,1,1,1,1,1,1,1
0,156,2,2,2,2,3,1,1,1,1,0
0,157,1,1,1,1,0,1,1,1,1,0
0,158,2,2,2,1,2,0,1,1,1,1
0,159,1,1,1,1,1,1,1,1,1,1
0,160,3,3,3,0,3,0,1,1,1,1
0,161,2,2,2,2,2,1,1,1,1,1
0,162,3,3,3,3,3,1,1,1,1,1
0,163,2,1,1,1,1,1,0,0,0,0
0,164,1,2,2,1,2,0,0,0,0,0
0,165,4,4,4,4,4,1,1,1,1,1
0,166,3,3,3,1,3,0,1,1,1,1
0,167,1,2,1,1,1,0,0,1,0,1
0,168,2,2,2,2,3,1,1,1,1,0
0,169,2,2,2,2,3,1,1,1,1,0
0,170,3,3,3,3,3,1,1,1,1,1
0,171,3,2,2,1,0,0,0,0,0,0
0,172,0,0,0,1,2,0,1,1,1,0
0,173,4,4,4,2,4,0,1,1,1,1
0,174,0,0,0,1,3,0,1,1,1,0
0,175,4,4,4,4,4,1,1,1,1,1
0,176,3,3,3,3,3,1,1,1,1,1
0,177,2,1,1,1,1,1,0,0,0,0
0,178,0,0,0,0,0,1,1,1,1,1
0,179,0,0,4,4,0,0,1,0,1,1
0,180,4,3,3,1,3,0,0,0,0,0
0,181,1,1,1,1,1,1,1,1,1,1
0,182,3,3,3,3,3,1,1,1,1,1
0,183,1,1,1,1,1,1,1,1,1,1
0,184,3,3,3,3,3,1,1,1,1,1
0,185,4,4,4,4,4,1,1,1,1,1
0,186,2,2,1,1,1,0,1,0,1,0
0,187,1,1,1,1,1,1,1,1,1,1
0,188,4,4,4,4,4,1,1,1,1,1
0,189,1,1,1,1,1,1,1,1,1,1
0,190,4,2,1,4,1,0,0,0,0,0
0,191,2,3,3,2,2,0,0,0,0,1
0,192,0,0,4,4,0,0,1,0,1,1
0,193,1,2,1,1,2,0,0,1,0,0
0,194,3,3,3,3,3,1,1,1,1,1
0,195,1,1,1,1,1,1,1,1,1,1
0,196,1,1,1,1,1,1,1,1,1,1
0,197,4,3,3,4,3,0,0,0,0,0
0,198,2,2,2,2,2,1,1,1,1,1
0,199,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,1,1,1,1
1,1,0,0,0,0,0,1,1,1,1,1
1,2,2,2,2,2,2,1,1,1,1,1
1,3,0,4,0,0,0,0,0,1,0,1
1,4,2,3,3,3,3,1,0,0,0,0
1,5,3,3,3,3,3,1,1,1,1,1
1,6,4,4,4,2,4,0,1,1,1,1
1,7,3,3,3,3,3,1,1,1,1,1
1,8,2,2,2,2,1,1,1,1,1,0
1,9,0,0,0,0,0,1,1,1,1,1
1,10,3,2,3,3,3,0,0,1,0,1
1,11,1,4,4,0,4,0,0,0,0,0
1,12,0,4,0,0,0,0,0,1,0,1
1,13,4,4,4,0,4,0,1,1,1,1
1,14,2,2,2,2,2,1,1,1,1,1
1,15,3,3,3,3,3,1,1,1,1,1
1,16,2,2,2,2,2,1,1,1,1,1
1,17,2,2,2,2,2,1,1,1,1,1
1,18,0,0,0,0,0,1,1,1,1,1
1,19,3,3,1,3,3,1,1,0,1,1
1,20,3,3,3,3,3,1,1,1,1,1
1,21,4,4,4,2,4,0,1,1,1,1
1,22,2,2,2,0,2,0,1,1,1,1
1,23,0,0,0,0,0,1,1,1,1,1
1,24,3,3,3,3,3,1,1,1,1,1
1,25,3,2,2,3,2,0,0,0,0,0
1,26,2,2,2,2,2,1,1,1,1,1
1,27,4,2,2,2,2,1,0,0,0,0
1,28,2,2,2,2,3,1,1,1,1,0
1,29,2,2,2,2,2,1,1,1,1,1
1,30,2,2,2,2,2,1,1,1,1,1
1,31,3,3,3,3,3,1,1,1,1,1
1,32,0,0,0,0,0,1,1,1,1,1
1,33,4,4,4,0,4,0,1,1,1,1
1,34,0,0,0,0,0,1,1,1,1,1
1,35,0,0,0,0,0,1,1,1,1,1
1,36,1,1,1,1,1,1,1,1,1,1
1,37,0,0,0,0,0,1,1,1,1,1
1,38,2,2,2,2,2,1,1,1,1,1
1,39,4,4,4,0,4,0,1,1,1,1
1,40,4,2,3,3,3,0,0,0,0,0
1,41,1,1,1,1,1,1,1,1,1,1
1,42,2,4,4,2,0,0,0,0,0,0
1,43,0,4,0,0,0,0,0,1,0,1
1,44,3,3,1,3,3,1,1,0,1,1
1,45,3,3,3,3,3,1,1,1,1,1
1,46,1,1,1,1,1,1,1,1,1,1
1,47,0,0,0,0,0,1,1,1,1,1
1,48,3,3,3,3,3,1,1,1,1,1
1,49,2,2,2,2,3,1,1,1,1,0
1,50,1,1,1,1,1,1,1,1,1,1
1,51,1,1,1,1,1,1,1,1,1,1
1,52,3,3,3,3,3,1,1,1,1,1
1,53,4,4,4,0,4,0,1,1,1,1
1,54,4,4,4,0,4,0,1,1,1,1
1,55,2,2,2,2,2,1,1,1,1,1
1,56,2,2,2,2,2,1,1,1,1,1
1,57,1,1,1,1,1,1,1,1,1,1
1,58,0,0,0,0,0,1,1,1,1,1
1,59,2,2,2,3,3,0,1,1,1,0
1,60,4,2,2,2,2,1,0,0,0,0
1,61,0,0,0,0,0,1,1,1,1,1
1,62,1,1,1,1,1,1,1,1,1,1
1,63,2,2,4,2,2,1,1,0,1,1
1,64,3,2,3,3,3,0,0,1,0,1
1,65,1,1,1,1,3,1,1,1,1,0
1,66,4,2,3,1,3,0,0,0,0,0
1,67,1,1,1,1,1,1,1,1,1,1
1,68,3,2,3,3,3,0,0,1,0,1
1,69,3,3,3,3,3,1,1,1,1,1
1,70,1,1,1,1,1,1,1,1,1,1
1,71,4,4,4,4,4,1,1,1,1,1
1,72,4,4,4,3,2,0,1,1,1,0
1,73,1,1,4,1,1,1,1,0,1,1
1,74,4,1,1,1,0,1,0,0,0,0
1,75,1,1,4,2,1,0,1,0,1,1
1,76,0,4,0,0,4,0,0,1,0,0
1,77,3,2,3,3,3,0,0,1,0,1
1,78,0,0,0,0,0,1,1,1,1,1
1,79,2,2,2,2,3,1,1,1,1,0
1,80,1,1,1,0,1,0,1,1,1,1
1,81,3,2,3,2,3,1,0,1,0,1
1,82,3,2,3,3,3,0,0,1,0,1
1,83,3,3,3,3,3,1,1,1,1,1
1,84,4,4,4,4,4,1,1,1,1,1
1,85,4,4,4,4,4,1,1,1,1,1
1,86,4,4,4,0,4,0,1,1,1,1
1,87,4,4,4,3,4,0,1,1,1,1
1,88,0,0,0,0,0,1,1,1,1,1
1,89,3,2,3,3,3,0,0,1,0,1
1,90,4,4,4,2,4,0,1,1,1,1
1,91,0,0,0,0,0,1,1,1,1,1
1,92,4,4,4,0,4,0,1,1,1,1
1,93,1,4,4,2,4,0,0,0,0,0
1,94,4,4,4,1,4,0,1,1,1,1
1,95,0,4,0,0,0,0,0,1,0,1
1,96,4,4,4,0,4,0,1,1,1,1
1,97,4,4,4,4,4,1,1,1,1,1
1,98,1,2,4,1,2,0,0,0,0,0
1,99,1,2,2,2,2,1,0,0,0,0
1,100,2,2,2,2,2,1,1,1,1,1
1,101,3,2,2,3,3,0,0,0,0,1
1,102,4,3,3,3,2,1,0,0,0,0
1,103,0,0,0,0,0,1,1,1,1,1
1,104,0,0,0,0,0,1,1,1,1,1
1,105,4,4,4,1,4,0,1,1,1,1
1,106,1,1,1,3,3,0,1,1,1,0
1,107,4,4,4,0,4,0,1,1,1,1
1,108,0,0,0,0,0,1,1,1,1,1
1,109,3,3,3,3,3,1,1,1,1,1
1,110,0,4,4,2,0,0,0,0,0,1
1,111,1,1,1,1,1,1,1,1,1,1
1,112,2,2,2,2,2,1,1,1,1,1
1,113,1,1,1,0,1,0,1,1,1,1
1,114,1,1,1,1,1,1,1,1,1,1
1,115,4,4,4,0,4,0,1,1,1,1
1,116,0,4,0,0,4,0,0,1,0,0
1,117,0,4,0,0,4,0,0,1,0,0
1,118,3,3,3,4,3,0,1,1,1,1
1,119,2,2,2,3,2,0,1,1,1,1
1,120,0,0,0,0,0,1,1,1,1,1
1,121,2,2,2,2,2,1,1,1,1,1
1,122,2,2,2,2,2,1,1,1,1,1
1,123,3,3,3,3,3,1,1,1,1,1
1,124,1,1,3,1,3,1,1,0,1,0
1,125,3,3,3,3,3,1,1,1,1,1
1,126,2,2,2,2,2,1,1,1,1,1
1,127,0,0,0,0,0,1,1,1,1,1
1,128,4,4,4,3,4,0,1,1,1,1
1,129,1,1,1,1,0,1,1,1,1,0
1,130,0,0,0,0,0,1,1,1,1,1
1,131,3,3,3,3,2,1,1,1,1,0
1,132,1,1,1,1,1,1,1,1,1,1
1,133,2,2,2,0,2,0,1,1,1,1
1,134,2,2,2,3,2,0,1,1,1,1
1,135,0,0,0,0,0,1,1,1,1,1
1,136,3,4,4,3,2,0,0,0,0,0
1,137,4,4,4,0,4,0,1,1,1,1
1,138,2,2,2,2,2,1,1,1,1,1
1,139,4,2,4,2,2,1,0,1,0,0
1,140,3,3,3,3,3,1,1,1,1,1
1,141,0,0,0,0,0,1,1,1,1,1
1,142,1,1,1,1,1,1,1,1,1,1
1,143,3,2,2,2,3,1,0,0,0,1
1,144,0,0,0,0,0,1,1,1,1,1
1,145,4,4,4,3,2,0,1,1,1,0
1,146,4,4,4,4,4,1,1,1,1,1
1,147,2,2,2,2,2,1,1,1,1,1
1,148,0,0,0,0,0,1,1,1,1,1
1,149,1,1,1,1,1,1,1,1,1,1
1,150,4,4,1,0,4,0,1,0,1,1
1,151,4,4,0,0,0,0,1,0,1,0
1,152,4,3,3,3,3,1,0,0,0,0
1,153,4,4,4,3,4,0,1,1,1,1
1,154,4,4,4,0,4,0,1,1,1,1
1,155,4,4,4,0,4,0,1,1,1,1
1,156,4,4,4,1,4,0,1,1,1,1
1,157,1,2,3,3,2,0,0,0,0,0
1,158,2,2,2,2,3,1,1,1,1,0
1,159,1,1,1,1,1,1,1,1,1,1
1,160,4,4,4,1,4,0,1,1,1,1
1,161,2,2,2,3,3,0,1,1,1,0
1,162,2,2,2,2,2,1,1,1,1,1
1,163,2,2,2,2,4,1,1,1,1,0
1,164,4,4,4,2,1,0,1,1,1,0
1,165,2,2,2,1,2,0,1,1,1,1
1,166,4,4,4,3,4,0,1,1,1,1
1,167,2,2,2,2,0,1,1,1,1,0
1,168,0,0,0,0,0,1,1,1,1,1
1,169,1,1,1,1,1,1,1,1,1,1
1,170,3,3,3,3,2,1,1,1,1,0
1,171,1,2,2,2,1,1,0,0,0,1
1,172,3,3,3,3,3,1,1,1,1,1
1,173,0,4,4,3,4,0,0,0,0,0
1,174,4,4,4,3,4,0,1,1,1,1
1,175,0,0,0,0,0,1,1,1,1,1
1,176,1,3,3,1,3,0,0,0,0,0
1,177,1,1,1,1,1,1,1,1,1,1
1,178,1,1,1,1,1,1,1,1,1,1
1,179,0,0,0,0,0,1,1,1,1,1
1,180,2,2,2,2,2,1,1,1,1,1
1,181,0,0,0,0,0,1,1,1,1,1
1,182,3,2,3,3,3,0,0,1,0,1
1,183,4,4,4,3,4,0,1,1,1,1
1,184,0,1,0,0,0,0,0,1,0,1
1,185,4,4,4,1,4,0,1,1,1,1
1,186,0,0,0,0,0,1,1,1,1,1
1,187,4,4,4,3,4,0,1,1,1,1
1,188,1,1,1,2,1,0,1,1,1,1
1,189,2,2,2,2,2,1,1,1,1,1
1,190,0,2,4,2,1,1,0,0,0,0
1,191,4,4,4,0,4,0,1,1,1,1
1,192,2,2,2,3,2,0,1,1,1,1
1,193,3,3,3,3,3,1,1,1,1,1
1,194,2,2,2,2,2,1,1,1,1,1
1,195,3,3,3,3,3,1,1,1,1,1
1,196,4,4,4,2,0,0,1,1,1,0
1,197,4,4,4,2,4,0,1,1,1,1
1,198,4,4,4,1,4,0,1,1,1,1
1,199,4,4,4,4,4,1,1,1,1,1
2,0,3,4,2,2,2,0,0,0,0,0
2,1,4,4,4,4,4,1,1,1,1,1
2,2,3,3,3,3,3,1,1,1,1,1
2,3,1,1,1,3,2,0,1,1,1,0
2,4,3,3,3,3,3,1,1,1,1,1
2,5,1,3,2,3,4,1,0,0,0,0
2,6,0,0,0,0,0,1,1,1,1,1
2,7,1,1,1,1,1,1,1,1,1,1
2,8,3,4,4,3,4,0,0,0,0,0
2,9,0,0,0,3,4,0,1,1,1,0
2,10,0,0,0,0,4,1,1,1,1,0
2,11,3,3,3,3,3,1,1,1,1,1
2,12,4,4,4,4,4,1,1,1,1,1
2,13,2,3,2,2,2,0,0,1,0,1
2,14,0,3,3,3,3,1,0,0,0,0
2,15,1,1,1,1,1,1,1,1,1,1
2,16,0,0,1,4,1,0,1,0,1,0
2,17,1,0,1,0,3,1,0,1,0,0
2,18,2,2,2,2,2,1,1,1,1,1
2,19,0,0,0,0,0,1,1,1,1,1
2,20,1,0,0,3,3,0,0,0,0,0
2,21,1,1,1,1,1,1,1,1,1,1
2,22,4,4,1,1,1,0,1,0,1,0
2,23,1,3,1,4,1,0,0,1,0,1
2,24,2,1,2,2,2,0,0,1,0,1
2,25,3,3,3,3,3,1,1,1,1,1
2,26,2,3,2,3,2,1,0,1,0,1
2,27,0,0,0,3,0,0,1,1,1,1
2,28,1,2,1,1,1,0,0,1,0,1
2,29,1,2,2,3,2,0,0,0,0,0
2,30,2,1,1,2,2,0,0,0,0,1
2,31,1,2,1,1,1,0,0,1,0,1
2,32,4,0,1,4,1,0,0,0,0,0
2,33,4,4,4,4,4,1,1,1,1,1
2,34,2,2,2,2,2,1,1,1,1,1
2,35,0,3,3,3,3,1,0,0,0,0
2,36,2,3,3,2,2,0,0,0,0,1
2,37,4,4,4,4,4,1,1,1,1,1
2,38,3,3,3,3,3,1,1,1,1,1
2,39,3,3,3,3,3,1,1,1,1,1
2,40,3,3,3,2,3,0,1,1,1,1
2,41,2,3,2,2,2,0,0,1,0,1
2,42,2,3,2,2,2,0,0,1,0,1
2,43,1,1,1,4,1,0,1,1,1,1
2,44,4,4,4,4,4,1,1,1,1,1
2,45,0,0,0,3,3,0,1,1,1,0
2,46,2,2,2,2,2,1,1,1,1,1
2,47,4,3,4,3,2,1,0,1,0,0
2,48,2,2,2,2,2,1,1,1,1,1
2,49,1,1,1,4,1,0,1,1,1,1
2,50,1,1,1,3,2,0,1,1,1,0
2,51,1,1,1,1,1,1,1,1,1,1
2,52,4,4,4,3,2,0,1,1,1,0
2,53,2,2,2,2,2,1,1,1,1,1
2,54,2,3,3,2,2,0,0,0,0,1
2,55,1,1,1,4,1,0,1,1,1,1
2,56,0,0,0,0,0,1,1,1,1,1
2,57,2,1,1,2,1,0,0,0,0,0
2,58,0,0,0,4,0,0,1,1,1,1
2,59,1,1,1,1,1,1,1,1,1,1
2,60,2,0,2,3,4,0,0,1,0,0
2,61,4,0,0,0,4,1,0,0,0,1
2,62,2,2,2,2,2,1,1,1,1,1
2,63,4,4,4,4,4,1,1,1,1,1
2,64,2,0,0,0,0,1,0,0,0,0
2,65,0,0,0,4,3,0,1,1,1,0
2,66,4,4,4,4,4,1,1,1,1,1
2,67,3,3,3,3,3,1,1,1,1,1
2,68,4,4,4,4,4,1,1,1,1,1
2,69,3,3,2,2,2,0,1,0,1,0
2,70,0,0,0,0,0,1,1,1,1,1
2,71,0,0,0,3,0,0,1,1,1,1
2,72,1,1,1,4,1,0,1,1,1,1
2,73,3,3,3,3,3,1,1,1,1,1
2,74,1,4,2,1,1,0,0,0,0,1
2,75,4,4,4,1,4,0,1,1,1,1
2,76,4,4,4,4,4,1,1,1,1,1
2,77,2,0,0,0,4,1,0,0,0,0
2,78,4,0,4,4,4,0,0,1,0,1
2,79,1,0,1,4,1,0,0,1,0,1
2,80,1,3,1,0,4,0,0,1,0,0
2,81,1,2,1,4,1,0,0,1,0,1
2,82,1,1,1,1,1,1,1,1,1,1
2,83,2,2,2,2,2,1,1,1,1,1
2,84,2,2,2,2,2,1,1,1,1,1
2,85,2,4,2,2,2,0,0,1,0,1
2,86,4,4,4,4,4,1,1,1,1,1
2,87,0,0,0,3,3,0,1,1,1,0
2,88,1,1,1,1,1,1,1,1,1,1
2,89,2,3,3,2,2,0,0,0,0,1
2,90,4,0,0,0,2,1,0,0,0,0
2,91,4,3,2,2,2,0,0,0,0,0
2,92,3,3,3,3,3,1,1,1,1,1
2,93,3,3,3,2,3,0,1,1,1,1
2,94,1,2,1,1,1,0,0,1,0,1
2,95,0,0,0,0,3,1,1,1,1,0
2,96,3,3,4,4,3,0,1,0,1,1
2,97,1,2,2,3,2,0,0,0,0,0
2,98,1,1,1,1,1,1,1,1,1,1
2,99,2,4,2,2,2,0,0,1,0,1
2,100,1,1,1,4,1,0,1,1,1,1
2,101,3,3,3,3,3,1,1,1,1,1
2,102,1,1,1,1,1,1,1,1,1,1
2,103,2,2,2,2,2,1,1,1,1,1
2,104,0,0,0,0,0,1,1,1,1,1
2,105,3,3,3,3,4,1,1,1,1,0
2,106,4,0,4,0,3,1,0,1,0,0
2,107,4,0,4,3,4,0,0,1,0,1
2,108,1,1,1,1,1,1,1,1,1,1
2,109,4,0,4,4,4,0,0,1,0,1
2,110,1,3,3,3,3,1,0,0,0,0
2,111,3,3,3,3,3,1,1,1,1,1
2,112,2,3,2,2,2,0,0,1,0,1
2,113,1,1,1,4,1,0,1,1,1,1
2,114,1,3,2,3,3,1,0,0,0,0
2,115,4,4,4,4,4,1,1,1,1,1
2,116,0,2,0,0,0,0,0,1,0,1
2,117,1,3,1,3,3,1,0,1,0,0
2,118,0,0,0,4,0,0,1,1,1,1
2,119,0,0,0,0,0,1,1,1,1,1
2,120,3,3,3,3,3,1,1,1,1,1
2,121,3,3,3,3,3,1,1,1,1,1
2,122,1,1,1,4,1,0,1,1,1,1
2,123,3,3,3,3,2,1,1,1,1,0
2,124,2,4,4,2,4,0,0,0,0,0
2,125,2,3,2,2,2,0,0,1,0,1
2,126,3,3,3,3,2,1,1,1,1,0
2,127,4,4,4,4,4,1,1,1,1,1
2,128,3,3,3,0,3,0,1,1,1,1
2,129,2,2,2,2,2,1,1,1,1,1
2,130,2,2,2,0,2,0,1,1,1,1
2,131,1,1,1,1,1,1,1,1,1,1
2,132,4,2,0,0,2,0,0,0,0,0
2,133,3,3,3,3,3,1,1,1,1,1
2,134,4,4,4,4,4,1,1,1,1,1
2,135,0,0,0,0,3,1,1,1,1,0
2,136,4,4,4,4,4,1,1,1,1,1
2,137,0,0,0,0,3,1,1,1,1,0
2,138,1,1,1,1,1,1,1,1,1,1
2,139,1,3,3,3,3,1,0,0,0,0
2,140,4,4,4,4,4,1,1,1,1,1
2,141,2,3,2,2,2,0,0,1,0,1
2,142,4,4,4,4,4,1,1,1,1,1
2,143,1,1,1,2,2,0,1,1,1,0
2,144,1,2,2,3,2,0,0,0,0,0
2,145,3,3,3,3,3,1,1,1,1,1
2,146,4,0,4,3,4,0,0,1,0,1
2,147,3,3,3,3,3,1,1,1,1,1
2,148,3,3,3,3,3,1,1,1,1,1
2,149,0,0,0,0,0,1,1,1,1,1
2,150,3,3,3,3,3,1,1,1,1,1
2,151,4,3,3,3,3,1,0,0,0,0
2,152,3,4,4,1,4,0,0,0,0,0
2,153,1,0,1,3,4,0,0,1,0,0
2,154,2,2,2,2,2,1,1,1,1,1
2,155,1,1,1,1,1,1,1,1,1,1
2,156,3,3,3,3,3,1,1,1,1,1
2,157,2,2,2,1,2,0,1,1,1,1
2,158,1,1,1,1,1,1,1,1,1,1
2,159,2,2,2,2,2,1,1,1,1,1
2,160,1,0,1,4,1,0,0,1,0,1
2,161,3,3,3,3,3,1,1,1,1,1
2,162,3,3,3,3,3,1,1,1,1,1
2,163,1,1,1,2,1,0,1,1,1,1
2,164,2,2,2,1,2,0,1,1,1,1
2,165,1,2,1,2,2,1,0,1,0,0
2,166,2,2,2,2,2,1,1,1,1,1
2,167,3,3,3,3,3,1,1,1,1,1
2,168,0,3,0,3,3,1,0,1,0,0
2,169,1,0,0,0,0,1,0,0,0,0
2,170,4,4,4,4,4,1,1,1,1,1
2,171,1,1,1,4,1,0,1,1,1,1
2,172,1,0,1,1,1,0,0,1,0,1
2,173,4,3,3,3,2,1,0,0,0,0
2,174,1,1,1,1,2,1,1,1,1,0
2,175,0,0,0,4,0,0,1,1,1,1
2,176,0,0,0,4,0,0,1,1,1,1
